Name,Lat,Lon,Mesh-x,Mesh-y,Days,Year,Q1-amp,Q1-phase,O1-amp,O1-phase,P1-amp,P1-phase,S1-amp,S1-phase,K1-amp,K1-phase,2N2-amp,2N2-phase,MU2-amp,MU2-phase,N2-amp,N2-phase,NU2-amp,NU2-phase,M2-amp,M2-phase,L2-amp,L2-phase,T2-amp,T2-phase,S2-amp,S2-phase,K2-amp,K2-phase,M4-amp,M4-phase
PORT_ERIN,54.085,-4.768,384347.498,5994467.652,0,0,0.034,356.695,0.101,53.963,0.040,182.542,0.012,103.436,0.111,178.753,0.047,266.352,0.032,155.843,0.356,293.581,0.081,299.416,1.833,319.493,0.085,349.995,0.032,356.665,0.559,1.253,0.155,340.285,0.012,76.144
PORTBURY,51.500,-2.728,518846.923,5705466.340,0,0,0.019,313.289,0.070,356.930,0.025,126.849,0.015,85.694,0.071,145.842,0.111,185.759,0.482,259.070,0.759,187.440,0.189,153.569,4.232,200.498,0.306,183.866,0.077,250.706,1.495,259.707,0.433,266.959,0.242,352.626
PORTPATRICK,54.843,-5.120,363864.739,6079331.418,0,0,0.033,355.689,0.099,54.732,0.040,185.981,0.012,101.501,0.110,181.479,0.036,275.519,0.032,130.975,0.256,303.727,0.062,308.067,1.340,330.204,0.072,356.030,0.024,13.815,0.378,16.671,0.109,357.443,0.003,0.078
PORTRUSH,55.207,-6.657,267337.591,6123902.796,0,0,0.032,340.032,0.085,40.731,0.030,168.401,0.009,74.858,0.093,163.965,0.019,150.127,0.055,104.922,0.118,171.547,0.021,198.963,0.535,195.489,0.021,305.302,0.010,207.215,0.233,211.690,0.064,188.229,0.018,89.273
PORTSMOUTH,50.803,-1.112,633054.459,5629568.580,0,0,0.004,355.834,0.027,359.733,0.031,104.707,0.007,41.305,0.088,102.233,0.035,277.576,0.022,21.097,0.276,301.878,0.058,298.095,1.409,324.488,0.066,335.024,0.027,2.962,0.438,13.240,0.123,352.013,0.187,8.574
SHEERNESS,51.446,0.743,760110.202,5706032.811,0,0,0.046,140.996,0.144,198.113,0.044,347.955,0.007,304.000,0.120,3.695,0.040,300.552,0.131,89.809,0.335,327.744,0.104,318.496,1.986,351.744,0.137,4.505,0.025,37.432,0.585,49.964,0.197,35.194,0.113,4.478
ST_HELIER,49.183,-2.117,564371.157,5448211.577,0,0,0.023,316.310,0.080,359.134,0.033,89.030,0.006,51.767,0.093,86.363,0.087,147.772,0.223,194.696,0.654,162.741,0.112,146.604,3.331,179.396,0.149,156.233,0.071,218.773,1.305,231.308,0.366,208.562,0.192,294.468
ST_MARY,49.918,-6.316,261942.809,5534840.078,0,0,0.017,301.857,0.057,353.714,0.018,90.908,0.003,23.026,0.059,90.867,0.043,88.379,0.048,141.079,0.342,108.456,0.071,103.604,1.735,128.500,0.064,133.815,0.034,166.233,0.608,172.615,0.183,150.374,0.059,183.497
STORNOWAY,58.207,-6.389,300894.962,6456775.785,0,0,0.032,307.901,0.092,2.349,0.040,125.234,0.012,37.400,0.131,125.790,0.039,153.820,0.056,141.827,0.281,173.838,0.051,179.346,1.386,195.460,0.029,219.271,0.030,223.649,0.543,231.123,0.154,210.032,0.060,215.487
TOBERMORY,56.623,-6.064,312012.855,6279632.937,0,0,0.026,338.932,0.060,37.127,0.017,164.028,0.006,59.746,0.063,158.336,0.036,126.805,0.057,131.770,0.263,145.884,0.047,147.626,1.303,166.208,0.025,167.547,0.026,197.347,0.529,204.830,0.144,180.973,0.046,175.594
ULLAPOOL,57.895,-5.158,372089.711,6419088.846,0,0,0.027,311.325,0.077,359.722,0.033,115.278,0.011,36.425,0.108,117.848,0.042,155.148,0.057,144.987,0.303,176.497,0.056,181.151,1.498,198.404,0.031,223.655,0.031,227.902,0.583,234.877,0.165,211.808,0.064,224.580
WEYMOUTH,50.608,-2.448,539062.796,5606435.518,0,0,0.011,326.786,0.048,2.430,0.032,102.558,0.005,54.654,0.090,100.796,0.021,171.890,0.112,190.521,0.133,182.269,0.015,136.002,0.595,188.658,0.043,115.775,0.016,230.158,0.311,242.237,0.087,218.836,0.145,20.212
WHITBY,54.490,-0.614,654532.916,6040670.096,0,0,0.049,46.059,0.143,101.092,0.038,239.521,0.010,168.545,0.128,240.773,0.044,54.717,0.013,60.106,0.323,78.118,0.067,81.119,1.650,102.164,0.062,120.663,0.026,143.515,0.557,146.944,0.158,126.069,0.027,70.831
WICK,58.441,-3.086,494961.155,6477809.658,0,0,0.037,347.322,0.113,39.715,0.034,161.189,0.010,87.672,0.108,165.938,0.028,278.511,0.020,304.388,0.203,299.832,0.041,301.268,1.014,319.981,0.035,325.917,0.016,347.082,0.347,0.101,0.098,338.515,0.035,311.810
WORKINGTON,54.651,-3.568,463374.436,6056083.013,0,0,0.036,0.443,0.108,57.795,0.044,186.087,0.015,95.707,0.123,184.014,0.067,279.894,0.019,70.788,0.525,305.632,0.119,306.075,2.740,329.604,0.123,348.825,0.049,6.560,0.875,15.325,0.242,354.269,0.138,246.580
